# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormatSymbols::createForLocale(icu_72::Locale const&, UErrorCode&)
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormatSymbols::getLocale(ULocDataLocaleType, UErrorCode&) const
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::~DecimalFormat()
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::NumberFormat::operator=(icu_72::NumberFormat const&)
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::OlsonTimeZone::clone() const
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::initialize(icu_72::Locale const&, UErrorCode&)
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UMemory::operator delete(void*)@plt
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::UnlocalizedNumberFormatter::UnlocalizedNumberFormatter(icu_72::number::NumberFormatterSettings<icu_72::number::UnlocalizedNumberFormatter>&&)
     0.07%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::UnlocalizedNumberFormatter::locale(icu_72::Locale const&) &&
     0.07%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000112db0
     0.07%  countwords_par_  libicuuc.so.72.1           [.] icu_72::LocaleBased::setLocaleIDs(char const*, char const*)
     0.07%  countwords_par_  libicuuc.so.72.1           [.] icu_72::operator+(icu_72::UnicodeString const&, icu_72::UnicodeString const&)
     0.07%  countwords_par_  libicuuc.so.72.1           [.] strlen@plt
     0.07%  countwords_par_  libicuuc.so.72.1           [.] uprv_max_72
     0.07%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000135791
     0.06%  countwords_par_  [kernel.kallsyms]          [k] _raw_spin_unlock_irq
     0.06%  countwords_par_  [kernel.kallsyms]          [k] _raw_spin_unlock_irqrestore
     0.06%  countwords_par_  [kernel.kallsyms]          [k] copy_from_kernel_nofault
     0.06%  countwords_par_  libc.so.6                  [.] __strncmp_avx2
     0.06%  countwords_par_  libc.so.6                  [.] memcpy@@GLIBC_2.14@plt
